State Name,County Name,City Name,Latitude,Longitude,Year,CO,NO2,Temperature,Ozone,PM2.5,Humidity,SO2,Wind Speed
Alabama,Jefferson,Birmingham,33.565278,-86.796389,2015,0.3375995,,,,,,,
Alabama,Jefferson,Birmingham,33.565278,-86.796389,2017,,,,,,,6.8305222,
Alabama,Jefferson,Birmingham,33.565278,-86.796389,2018,,,,,,,5.1970384,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2015,0.524527,,,0.04072175,,,1.3577794,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2016,0.3395495,,,0.04536,,,1.8607306000000001,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2017,0.191635,,,0.04079175,,,1.2726984,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2018,0.199641,,,0.044320750000000006,,,0.537446,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2020,0.19216499999999997,,,0.0409905,,,0.7861648,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2021,0.24401050000000002,,,0.040981,,,0.513799,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2022,0.1144145,,,0.04473625,,,0.4973584,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2023,0.10426150000000001,,,0.04792125,,,0.388378,
Alabama,Jefferson,Fairfield,33.485556,-86.915,2024,0.0744775,,,0.04586975,,,0.5609056000000001,
Alabama,Jefferson,Hoover,33.386389,-86.816667,2015,,,,0.04121,,,,
Alabama,Jefferson,Hoover,33.386389,-86.816667,2016,,,,0.04534175,,,,
Alabama,Jefferson,Hoover,33.386389,-86.816667,2017,,,,0.0385935,,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2015,,,,0.03945325,10.1814245,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2016,,,,0.045935500000000004,9.219758,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2017,,,,0.04128625,8.8788665,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2018,,,,0.04454575,9.179385,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2020,,,,0.04103975,8.27459,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2021,,,,0.0427205,7.9302455,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2022,,,,0.04218075,8.316128924528302,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2023,,,,0.046488749999999995,9.888582071428573,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2024,,,,0.0454345,9.095851228571428,,,
Alabama,Jefferson,Leeds,33.545278,-86.549167,2025,,,,0.040206,7.9710436666666675,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2015,,,,0.0420375,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2016,,,,0.04655425,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2017,,,,0.04155575,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2018,,,,0.04336325,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2020,,,,0.0412625,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2021,,,,0.038066,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2022,,,,0.04145325,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2023,,,,0.04677475,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2024,,,,0.046324,,,,
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,2025,,,,0.04143675,8.687230444444445,,,
